ID,COURSE_ID,COURSE_NAME,CREDITS,ELECTIVE,HASSTUDIED,COURSE_DIFFICULTY,PREREQUISITES,COREQUISITE,PREVIOUS,COURSE_DESCRIPTION
49,PE018IU,History of Vietnamese Communist Party,2,0,0,0.699,,,PE017IU,"Examines the formation, development, and leadership role of the Communist Party in Vietnamese history."
50,IT159IU,Artificial Intelligence,4,0,0,0.269,,,IT069IU AND IT053IU,"Covers search algorithms, knowledge representation, reasoning, and machine learning techniques in AI systems."
51,PE021IU,General Law,3,0,0,0.301,,,,"Provides foundational knowledge of legal systems, civil law, and rights relevant to everyday life."
52,IT120IU,Entrepreneurship,3,0,0,0.493,,,,"Focuses on business idea generation, startups, venture capital, and entrepreneurial mindset development."
53,EE068IU,Principles of Communication Systems,3,1,0,0.36,,,,"Introduces analog and digital communication, modulation techniques, and system performance analysis."
54,EE049IU,Introduction to Electrical Engineering,3,1,0,0.665,,,,"Covers circuit theory, electrical components, and measurement tools for beginners in EE."
55,IT076IU,Software Engineering,4,0,0,0.698,IT069IU,,,"Focuses on software development methodologies, lifecycle models, requirements engineering, and team collaboration."
56,IT082IU,Internship,3,0,0,0.397,,,,A supervised industrial placement to apply academic knowledge in a real-world work environment.
57,IT083IU,Special Study of the Field,3,0,0,0.645,,,,An individual research or development project in a selected area of the student's major.
58,IT017IU,Operating Systems,4,0,0,0.751,IT089IU AND IT013IU,,,"Covers processes, memory management, file systems, and concurrency in modern operating systems."
59,PE019IU,Ho Chi Minh's Thoughts,2,0,0,0.792,,,PE017IU,Explores the ideological foundation and political philosophy of Ho Chi Minh and its impact on Vietnam.
60,IT058IU,Thesis,10,0,0,0.204,IT083IU,,,The final capstone project involving research or development in a specific computer science domain under supervision.
